entity:ID,name,:LABEL
e0,索引项,my_entity
e1,多关键字排序,my_entity
e2,AOV网,my_entity
e3,出队,my_entity
e4,哈希表,my_entity
e5,特殊矩阵,my_entity
e6,实值参数,my_entity
e7,弗洛伊德算法,my_entity
e8,深度优先遍历,my_entity
e9,叶子结点,my_entity
e10,哈夫曼编码,my_entity
e11,有穷性,my_entity
e12,后进先出,my_entity
e13,带权路径长度,my_entity
e14,二叉堆,my_entity
e15,大O表示法,my_entity
e16,除留余数法,my_entity
e17,内部结点,my_entity
e18,红黑树,my_entity
e19,路径,my_entity
e20,强连通图,my_entity
e21,有向边,my_entity
e22,次优查找树,my_entity
e23,正确性,my_entity
e24,中序序列,my_entity
e25,基数排序,my_entity
e26,AOE网,my_entity
e27,前驱,my_entity
e28,子串,my_entity
e29,深度,my_entity
e30,索引表,my_entity
e31,引用参数,my_entity
e32,散列,my_entity
e33,头插法,my_entity
e34,割点,my_entity
e35,虚拟存储存取方法,my_entity
e36,数据项,my_entity
e37,B+树,my_entity
e38,扩充二叉树,my_entity
e39,稀疏图,my_entity
e40,递归算法,my_entity
e41,队头元素,my_entity
e42,后缀树,my_entity
e43,最高位优先法,my_entity
e44,层序遍历,my_entity
e45,连通分量,my_entity
e46,指针,my_entity
e47,直接插入排序,my_entity
e48,队头指针,my_entity
e49,置换选择排序,my_entity
e50,链地址法,my_entity
e51,前序序列,my_entity
e52,关键字,my_entity
e53,线索链表,my_entity
e54,线性结构,my_entity
e55,邻接表,my_entity
e56,哈夫曼二叉树,my_entity
e57,条件语句,my_entity
e58,负载因子,my_entity
e59,迪杰斯特拉算法,my_entity
e60,模式匹配,my_entity
e61,修改,my_entity
e62,伪代码,my_entity
e63,双向链表,my_entity
e64,编译,my_entity
e65,邻接矩阵,my_entity
e66,字符序列,my_entity
e67,快速排序,my_entity
e68,头指针,my_entity
e69,反向索引,my_entity
e70,完全图,my_entity
e71,线性探测,my_entity
e72,有向无环图,my_entity
e73,栈底,my_entity
e74,多模匹配,my_entity
e75,二叉树,my_entity
e76,顺序结构,my_entity
e77,折半查找,my_entity
e78,模式串,my_entity
e79,无向图,my_entity
e80,邻接点,my_entity
e81,数据类型,my_entity
e82,计数排序,my_entity
e83,栈底指针,my_entity
e84,NP问题,my_entity
e85,简单回路,my_entity
e86,带权邻接矩阵,my_entity
e87,空指针,my_entity
e88,二叉排序树,my_entity
e89,无向完全图,my_entity
e90,稠密图,my_entity
e91,孩子结点,my_entity
e92,频度,my_entity
